training set 506
validation set 506
-------------------------------------
{'lr': 0.0008377019231346562, 'batch_size': 8, 'weight_decay': 2.4427015675775187e-06, 'gamma': 0.00903130010323455}
train_acc: 0.5948616600790514, val_acc: 0.5770750988142292, train_loss: 0.966463010301703, val_loss: 1.0753799771131733 (46 / 60)
train_acc: 0.5988142292490118, val_acc: 0.5770750988142292, train_loss: 0.9787839267093673, val_loss: 1.0752787255486953 (47 / 60)
train_acc: 0.6205533596837944, val_acc: 0.5790513833992095, train_loss: 0.960312223717158, val_loss: 1.0753314306613484 (48 / 60)
train_acc: 0.616600790513834, val_acc: 0.5770750988142292, train_loss: 0.9316253697448097, val_loss: 1.0747325632411973 (49 / 60)
train_acc: 0.6185770750988142, val_acc: 0.5830039525691699, train_loss: 0.9550398501011694, val_loss: 1.0774791165302864 (50 / 60)
train_acc: 0.6086956521739131, val_acc: 0.5790513833992095, train_loss: 0.9494425458870387, val_loss: 1.0773781990345288 (51 / 60)
train_acc: 0.6067193675889329, val_acc: 0.5790513833992095, train_loss: 0.9794326483496564, val_loss: 1.072993805757153 (52 / 60)
train_acc: 0.6067193675889329, val_acc: 0.5810276679841897, train_loss: 0.9503637420330123, val_loss: 1.0757572782840654 (53 / 60)
train_acc: 0.6363636363636364, val_acc: 0.5790513833992095, train_loss: 0.9297431038302395, val_loss: 1.0760086152864539 (54 / 60)
train_acc: 0.6146245059288538, val_acc: 0.5810276679841897, train_loss: 0.9526236151518087, val_loss: 1.0717799715373828 (55 / 60)
train_acc: 0.6007905138339921, val_acc: 0.5830039525691699, train_loss: 0.9701217954809015, val_loss: 1.0713261196264636 (56 / 60)
train_acc: 0.6185770750988142, val_acc: 0.5849802371541502, train_loss: 0.9724332864576649, val_loss: 1.0701400147596367 (57 / 60)
train_acc: 0.6264822134387352, val_acc: 0.5830039525691699, train_loss: 0.9338316130543886, val_loss: 1.0716456631897937 (58 / 60)
train_acc: 0.6225296442687747, val_acc: 0.5830039525691699, train_loss: 0.96036979049562, val_loss: 1.0727701879772744 (59 / 60)
train_acc: 0.6225296442687747, val_acc: 0.5849802371541502, train_loss: 0.94164197576847, val_loss: 1.0732556713428423 (60 / 60)
lr 0.0008377019231346562, batch 8, decay 2.4427015675775187e-06, gamma 0.00903130010323455, val accuracy 0.5849802371541502, val loss 1.0701400147596367 [1 / 50]
-------------------------------------
{'lr': 0.0030494781805484286, 'batch_size': 8, 'weight_decay': 8.884486518195432e-06, 'gamma': 0.013544572840448658}
train_acc: 0.18181818181818182, val_acc: 0.18181818181818182, train_loss: 1.7775946346667444, val_loss: 1.757834677639686 (1 / 60)
train_acc: 0.17984189723320157, val_acc: 0.2964426877470356, train_loss: 1.7588307376906807, val_loss: 1.7320203639773042 (2 / 60)
train_acc: 0.22924901185770752, val_acc: 0.3577075098814229, train_loss: 1.7416578978889072, val_loss: 1.6825788812675024 (3 / 60)
train_acc: 0.2608695652173913, val_acc: 0.3577075098814229, train_loss: 1.676741929864695, val_loss: 1.5727304243758733 (4 / 60)
train_acc: 0.30237154150197626, val_acc: 0.1976284584980237, train_loss: 1.6855697170076633, val_loss: 1.7233095753334255 (5 / 60)
train_acc: 0.22529644268774704, val_acc: 0.22727272727272727, train_loss: 1.7107386650304077, val_loss: 1.790085272826696 (6 / 60)
train_acc: 0.30434782608695654, val_acc: 0.38537549407114624, train_loss: 1.6427124884759956, val_loss: 1.5130483105248613 (7 / 60)
train_acc: 0.3695652173913043, val_acc: 0.40118577075098816, train_loss: 1.5235662469750808, val_loss: 1.4754026407309673 (8 / 60)
train_acc: 0.3300395256916996, val_acc: 0.37351778656126483, train_loss: 1.602314402463408, val_loss: 1.4610896657106904 (9 / 60)
train_acc: 0.34980237154150196, val_acc: 0.31620553359683795, train_loss: 1.498915571469092, val_loss: 1.5673151614637715 (10 / 60)
train_acc: 0.35177865612648224, val_acc: 0.37549407114624506, train_loss: 1.462336137831918, val_loss: 1.3604751754655198 (11 / 60)
train_acc: 0.36561264822134387, val_acc: 0.3438735177865613, train_loss: 1.4180185205851619, val_loss: 1.440333491728711 (12 / 60)
train_acc: 0.3557312252964427, val_acc: 0.31225296442687744, train_loss: 1.4189011023449805, val_loss: 1.5192030465649993 (13 / 60)
train_acc: 0.3715415019762846, val_acc: 0.38735177865612647, train_loss: 1.3903956526352954, val_loss: 1.2985522973207617 (14 / 60)
train_acc: 0.40118577075098816, val_acc: 0.4209486166007905, train_loss: 1.4141894352765894, val_loss: 1.2772575235178347 (15 / 60)
train_acc: 0.4090909090909091, val_acc: 0.3715415019762846, train_loss: 1.401716564248202, val_loss: 1.4073375251453384 (16 / 60)
train_acc: 0.40711462450592883, val_acc: 0.4268774703557312, train_loss: 1.3309905580852344, val_loss: 1.2438103464752317 (17 / 60)
train_acc: 0.37351778656126483, val_acc: 0.4505928853754941, train_loss: 1.378432627251968, val_loss: 1.2397226891498792 (18 / 60)
train_acc: 0.44664031620553357, val_acc: 0.4841897233201581, train_loss: 1.2732874885378147, val_loss: 1.240540003116894 (19 / 60)
train_acc: 0.3952569169960474, val_acc: 0.40118577075098816, train_loss: 1.2576321090162978, val_loss: 1.3274956698945388 (20 / 60)
train_acc: 0.424901185770751, val_acc: 0.4723320158102767, train_loss: 1.2575317776721457, val_loss: 1.2432048132297078 (21 / 60)
train_acc: 0.47035573122529645, val_acc: 0.4782608695652174, train_loss: 1.2395727445956746, val_loss: 1.1852021763918428 (22 / 60)
train_acc: 0.44664031620553357, val_acc: 0.4762845849802372, train_loss: 1.2034218207649563, val_loss: 1.216505525611606 (23 / 60)
train_acc: 0.5138339920948617, val_acc: 0.45454545454545453, train_loss: 1.1690979720104353, val_loss: 1.297414111525645 (24 / 60)
train_acc: 0.5316205533596838, val_acc: 0.49209486166007904, train_loss: 1.1574806453211035, val_loss: 1.1764484125634898 (25 / 60)
train_acc: 0.5395256916996047, val_acc: 0.5513833992094862, train_loss: 1.0755979746226736, val_loss: 1.0750684078503032 (26 / 60)
train_acc: 0.5474308300395256, val_acc: 0.5296442687747036, train_loss: 1.0762569753548845, val_loss: 1.137261429794221 (27 / 60)
train_acc: 0.5652173913043478, val_acc: 0.5632411067193676, train_loss: 1.0281814230760566, val_loss: 1.0843890551993027 (28 / 60)
train_acc: 0.5889328063241107, val_acc: 0.4782608695652174, train_loss: 1.0291389311726384, val_loss: 1.2733205844291113 (29 / 60)
train_acc: 0.5039525691699605, val_acc: 0.5098814229249012, train_loss: 1.164934263398996, val_loss: 1.2516776662570215 (30 / 60)
train_acc: 0.5869565217391305, val_acc: 0.5573122529644269, train_loss: 1.005023211829747, val_loss: 1.0836131252318975 (31 / 60)
train_acc: 0.6264822134387352, val_acc: 0.5237154150197628, train_loss: 0.858666901531898, val_loss: 1.1388668302490776 (32 / 60)
train_acc: 0.6284584980237155, val_acc: 0.541501976284585, train_loss: 0.9025580619163664, val_loss: 1.246612031469232 (33 / 60)
train_acc: 0.6600790513833992, val_acc: 0.5652173913043478, train_loss: 0.832449173738834, val_loss: 1.1186287907272459 (34 / 60)
train_acc: 0.650197628458498, val_acc: 0.5079051383399209, train_loss: 0.8450223282863029, val_loss: 1.354988164110146 (35 / 60)
train_acc: 0.6877470355731226, val_acc: 0.5513833992094862, train_loss: 0.761791014388616, val_loss: 1.3449139491371487 (36 / 60)
train_acc: 0.7391304347826086, val_acc: 0.6126482213438735, train_loss: 0.6698476594427357, val_loss: 1.0941034416436206 (37 / 60)
train_acc: 0.7905138339920948, val_acc: 0.6126482213438735, train_loss: 0.5435424967716805, val_loss: 1.0522701608333662 (38 / 60)
train_acc: 0.808300395256917, val_acc: 0.616600790513834, train_loss: 0.4985483484305883, val_loss: 1.0547898828747715 (39 / 60)
train_acc: 0.7924901185770751, val_acc: 0.616600790513834, train_loss: 0.5010345950428206, val_loss: 1.0586035279888408 (40 / 60)
train_acc: 0.7964426877470355, val_acc: 0.6284584980237155, train_loss: 0.5320548596589462, val_loss: 1.0414478595077756 (41 / 60)
train_acc: 0.8221343873517787, val_acc: 0.6185770750988142, train_loss: 0.44994466530946875, val_loss: 1.0489352187620322 (42 / 60)
train_acc: 0.8300395256916996, val_acc: 0.6225296442687747, train_loss: 0.4708433587089358, val_loss: 1.0548737473167449 (43 / 60)
train_acc: 0.8221343873517787, val_acc: 0.6205533596837944, train_loss: 0.448896997059758, val_loss: 1.0607472573344416 (44 / 60)
train_acc: 0.8102766798418972, val_acc: 0.6225296442687747, train_loss: 0.4767470199600039, val_loss: 1.0590296682161775 (45 / 60)
train_acc: 0.849802371541502, val_acc: 0.6205533596837944, train_loss: 0.4447382561302939, val_loss: 1.0663727993079326 (46 / 60)
train_acc: 0.8280632411067194, val_acc: 0.6264822134387352, train_loss: 0.41864706829131354, val_loss: 1.0690500604305342 (47 / 60)
train_acc: 0.8438735177865613, val_acc: 0.6343873517786561, train_loss: 0.4138432439608065, val_loss: 1.0666744035223257 (48 / 60)
train_acc: 0.8359683794466403, val_acc: 0.6284584980237155, train_loss: 0.43323862646879413, val_loss: 1.0821836022991436 (49 / 60)
train_acc: 0.8478260869565217, val_acc: 0.6225296442687747, train_loss: 0.4055187591450959, val_loss: 1.0920799697340713 (50 / 60)
train_acc: 0.8438735177865613, val_acc: 0.6304347826086957, train_loss: 0.39504383863667725, val_loss: 1.0954729205534863 (51 / 60)
train_acc: 0.8438735177865613, val_acc: 0.6304347826086957, train_loss: 0.40165772998757043, val_loss: 1.1108669758785383 (52 / 60)
train_acc: 0.8596837944664032, val_acc: 0.6284584980237155, train_loss: 0.3922447460913375, val_loss: 1.110174991396576 (53 / 60)
train_acc: 0.8517786561264822, val_acc: 0.6284584980237155, train_loss: 0.39078396817912225, val_loss: 1.131504481489008 (54 / 60)
train_acc: 0.841897233201581, val_acc: 0.6264822134387352, train_loss: 0.38908597626704944, val_loss: 1.1284977593440784 (55 / 60)
train_acc: 0.8458498023715415, val_acc: 0.6324110671936759, train_loss: 0.3694910145559801, val_loss: 1.135844842247341 (56 / 60)
train_acc: 0.8596837944664032, val_acc: 0.6284584980237155, train_loss: 0.3876773832814967, val_loss: 1.144598719630788 (57 / 60)
train_acc: 0.8715415019762845, val_acc: 0.6284584980237155, train_loss: 0.3684511191760127, val_loss: 1.140835190950175 (58 / 60)
train_acc: 0.8478260869565217, val_acc: 0.6245059288537549, train_loss: 0.357839236853151, val_loss: 1.1618573265113379 (59 / 60)
train_acc: 0.8616600790513834, val_acc: 0.6284584980237155, train_loss: 0.3576290807705152, val_loss: 1.163291637134175 (60 / 60)
lr 0.0030494781805484286, batch 8, decay 8.884486518195432e-06, gamma 0.013544572840448658, val accuracy 0.6343873517786561, val loss 1.0666744035223257 [2 / 50]
-------------------------------------
{'lr': 0.00212061237381847, 'batch_size': 8, 'weight_decay': 9.321442446976307e-06, 'gamma': 0.011378541186777249}
train_acc: 0.18774703557312253, val_acc: 0.18181818181818182, train_loss: 1.7797906012403164, val_loss: 1.7565025830928516 (1 / 60)
train_acc: 0.18181818181818182, val_acc: 0.21739130434782608, train_loss: 1.7603711629573535, val_loss: 1.7341642832096387 (2 / 60)
train_acc: 0.23122529644268774, val_acc: 0.191699604743083, train_loss: 1.7425581984840364, val_loss: 1.706185324861127 (3 / 60)
train_acc: 0.2648221343873518, val_acc: 0.274703557312253, train_loss: 1.7246662251091758, val_loss: 1.682378912160519 (4 / 60)
train_acc: 0.26679841897233203, val_acc: 0.3675889328063241, train_loss: 1.6673594727346548, val_loss: 1.461360734442006 (5 / 60)
train_acc: 0.2707509881422925, val_acc: 0.35177865612648224, train_loss: 1.6534141042958135, val_loss: 1.5421196980909868 (6 / 60)
train_acc: 0.3142292490118577, val_acc: 0.39920948616600793, train_loss: 1.55307492625572, val_loss: 1.3931591868871758 (7 / 60)
train_acc: 0.35177865612648224, val_acc: 0.391304347826087, train_loss: 1.507545095187402, val_loss: 1.4187923768763486 (8 / 60)
train_acc: 0.3339920948616601, val_acc: 0.40118577075098816, train_loss: 1.5053267667416057, val_loss: 1.3827255102014353 (9 / 60)
train_acc: 0.32608695652173914, val_acc: 0.36561264822134387, train_loss: 1.5129046949002112, val_loss: 1.348844113086052 (10 / 60)
train_acc: 0.38735177865612647, val_acc: 0.4288537549407115, train_loss: 1.4116160695260693, val_loss: 1.3243773539546921 (11 / 60)
train_acc: 0.3300395256916996, val_acc: 0.4209486166007905, train_loss: 1.4277676207274788, val_loss: 1.3200953553316621 (12 / 60)
train_acc: 0.39723320158102765, val_acc: 0.37549407114624506, train_loss: 1.3753991979855322, val_loss: 1.4283534019832083 (13 / 60)
train_acc: 0.38735177865612647, val_acc: 0.4426877470355731, train_loss: 1.401501406794009, val_loss: 1.2910674579529895 (14 / 60)
train_acc: 0.4150197628458498, val_acc: 0.41304347826086957, train_loss: 1.3465154896611753, val_loss: 1.3005058393176836 (15 / 60)
train_acc: 0.4288537549407115, val_acc: 0.4090909090909091, train_loss: 1.3414590895882708, val_loss: 1.3103349859064275 (16 / 60)
train_acc: 0.40711462450592883, val_acc: 0.424901185770751, train_loss: 1.3490210170802392, val_loss: 1.30313883845514 (17 / 60)
train_acc: 0.4288537549407115, val_acc: 0.4209486166007905, train_loss: 1.3065939533851834, val_loss: 1.3343538719674815 (18 / 60)
train_acc: 0.3715415019762846, val_acc: 0.424901185770751, train_loss: 1.3594517227218086, val_loss: 1.2547533462641267 (19 / 60)
train_acc: 0.44466403162055335, val_acc: 0.41699604743083, train_loss: 1.2604551305883958, val_loss: 1.3544642246758984 (20 / 60)
train_acc: 0.4288537549407115, val_acc: 0.4189723320158103, train_loss: 1.242434568084747, val_loss: 1.2289051152029526 (21 / 60)
train_acc: 0.4268774703557312, val_acc: 0.44466403162055335, train_loss: 1.2677952461091897, val_loss: 1.2471792928786145 (22 / 60)
train_acc: 0.4841897233201581, val_acc: 0.47035573122529645, train_loss: 1.2194250694847861, val_loss: 1.2560856719262044 (23 / 60)
train_acc: 0.4841897233201581, val_acc: 0.5059288537549407, train_loss: 1.1970155978862476, val_loss: 1.1550560282624287 (24 / 60)
train_acc: 0.5098814229249012, val_acc: 0.45652173913043476, train_loss: 1.198044864556535, val_loss: 1.2143742091099736 (25 / 60)
train_acc: 0.5098814229249012, val_acc: 0.49604743083003955, train_loss: 1.1819307144451519, val_loss: 1.2026460330948057 (26 / 60)
train_acc: 0.48023715415019763, val_acc: 0.4762845849802372, train_loss: 1.2242142951535613, val_loss: 1.218399105807067 (27 / 60)
train_acc: 0.4980237154150198, val_acc: 0.4644268774703557, train_loss: 1.122103166203254, val_loss: 1.247508407110282 (28 / 60)
train_acc: 0.5553359683794467, val_acc: 0.5197628458498024, train_loss: 1.0383494969884397, val_loss: 1.143355522702334 (29 / 60)
train_acc: 0.5592885375494071, val_acc: 0.45652173913043476, train_loss: 1.0523017072394902, val_loss: 1.5562384637448157 (30 / 60)
train_acc: 0.5118577075098815, val_acc: 0.5533596837944664, train_loss: 1.0871383380512947, val_loss: 1.0443860118096997 (31 / 60)
train_acc: 0.5731225296442688, val_acc: 0.5849802371541502, train_loss: 0.9722714160270842, val_loss: 1.027472000348238 (32 / 60)
train_acc: 0.5632411067193676, val_acc: 0.4881422924901186, train_loss: 1.0101378213746746, val_loss: 1.109278488536126 (33 / 60)
train_acc: 0.6007905138339921, val_acc: 0.5474308300395256, train_loss: 0.9424340482285842, val_loss: 1.1221016400416377 (34 / 60)
train_acc: 0.6324110671936759, val_acc: 0.5513833992094862, train_loss: 0.893340345427924, val_loss: 1.1564818210752585 (35 / 60)
train_acc: 0.6521739130434783, val_acc: 0.5553359683794467, train_loss: 0.862223454614873, val_loss: 1.1033582988935027 (36 / 60)
train_acc: 0.7055335968379447, val_acc: 0.5711462450592886, train_loss: 0.7171668808450812, val_loss: 1.056753951099079 (37 / 60)
train_acc: 0.7312252964426877, val_acc: 0.5849802371541502, train_loss: 0.6594407226257173, val_loss: 1.0260913593495788 (38 / 60)
train_acc: 0.733201581027668, val_acc: 0.6027667984189723, train_loss: 0.6574371049526652, val_loss: 1.0201743600867954 (39 / 60)
train_acc: 0.7312252964426877, val_acc: 0.6027667984189723, train_loss: 0.6543545788927041, val_loss: 1.0128447811594123 (40 / 60)
train_acc: 0.7450592885375494, val_acc: 0.5988142292490118, train_loss: 0.6225627981155757, val_loss: 1.0136268595932971 (41 / 60)
train_acc: 0.7786561264822134, val_acc: 0.6047430830039525, train_loss: 0.5821151431841342, val_loss: 1.023439795603394 (42 / 60)
train_acc: 0.7984189723320159, val_acc: 0.6047430830039525, train_loss: 0.5600446585138796, val_loss: 1.029696908392925 (43 / 60)
train_acc: 0.7470355731225297, val_acc: 0.6047430830039525, train_loss: 0.613130743795704, val_loss: 1.0307748204634595 (44 / 60)
train_acc: 0.7608695652173914, val_acc: 0.6047430830039525, train_loss: 0.595252160969459, val_loss: 1.028103512266408 (45 / 60)
train_acc: 0.7707509881422925, val_acc: 0.6047430830039525, train_loss: 0.5839124114617057, val_loss: 1.0304204037066975 (46 / 60)
train_acc: 0.7806324110671937, val_acc: 0.6047430830039525, train_loss: 0.5904718910752549, val_loss: 1.034696669917804 (47 / 60)
train_acc: 0.7707509881422925, val_acc: 0.6086956521739131, train_loss: 0.5761507846150002, val_loss: 1.04090623186511 (48 / 60)
train_acc: 0.7865612648221344, val_acc: 0.6086956521739131, train_loss: 0.5691652825698551, val_loss: 1.0489384539042537 (49 / 60)
train_acc: 0.8063241106719368, val_acc: 0.6067193675889329, train_loss: 0.5355992067472737, val_loss: 1.054022602648603 (50 / 60)
train_acc: 0.7786561264822134, val_acc: 0.6067193675889329, train_loss: 0.5342233006662059, val_loss: 1.0601894747127185 (51 / 60)
train_acc: 0.782608695652174, val_acc: 0.6106719367588933, train_loss: 0.5339216672384692, val_loss: 1.0622138878102358 (52 / 60)
train_acc: 0.8043478260869565, val_acc: 0.6067193675889329, train_loss: 0.5117529128851156, val_loss: 1.0721584991975264 (53 / 60)
train_acc: 0.7905138339920948, val_acc: 0.6007905138339921, train_loss: 0.5287567878900309, val_loss: 1.076290197523215 (54 / 60)
train_acc: 0.7964426877470355, val_acc: 0.6047430830039525, train_loss: 0.5163701115389586, val_loss: 1.0757411016305916 (55 / 60)
train_acc: 0.7905138339920948, val_acc: 0.6067193675889329, train_loss: 0.5118104304249579, val_loss: 1.0829841346137608 (56 / 60)
train_acc: 0.7865612648221344, val_acc: 0.6086956521739131, train_loss: 0.5485404576708677, val_loss: 1.0759556253436997 (57 / 60)
train_acc: 0.8063241106719368, val_acc: 0.6067193675889329, train_loss: 0.4859414854539713, val_loss: 1.0852690251919592 (58 / 60)
train_acc: 0.8003952569169961, val_acc: 0.6027667984189723, train_loss: 0.5166564421220259, val_loss: 1.082440454969293 (59 / 60)
train_acc: 0.8023715415019763, val_acc: 0.6067193675889329, train_loss: 0.5275069204243746, val_loss: 1.0859321186193835 (60 / 60)
lr 0.00212061237381847, batch 8, decay 9.321442446976307e-06, gamma 0.011378541186777249, val accuracy 0.6106719367588933, val loss 1.0622138878102358 [3 / 50]
-------------------------------------
{'lr': 0.002712726773730524, 'batch_size': 8, 'weight_decay': 5.8854060643094e-06, 'gamma': 0.026493660813106813}
train_acc: 0.20948616600790515, val_acc: 0.18774703557312253, train_loss: 1.7777206511365566, val_loss: 1.7578480974016453 (1 / 60)
train_acc: 0.191699604743083, val_acc: 0.2608695652173913, train_loss: 1.7636380073110105, val_loss: 1.7394952519609053 (2 / 60)
train_acc: 0.2075098814229249, val_acc: 0.18181818181818182, train_loss: 1.7568707593344888, val_loss: 1.7276538869609004 (3 / 60)
train_acc: 0.2826086956521739, val_acc: 0.23715415019762845, train_loss: 1.7046636451374402, val_loss: 1.6295605761260383 (4 / 60)
train_acc: 0.22529644268774704, val_acc: 0.3695652173913043, train_loss: 1.6949876589266208, val_loss: 1.5134209102321519 (5 / 60)
train_acc: 0.2707509881422925, val_acc: 0.23517786561264822, train_loss: 1.6503775515575183, val_loss: 1.6639738007496467 (6 / 60)
train_acc: 0.2608695652173913, val_acc: 0.3221343873517787, train_loss: 1.6213545403461682, val_loss: 1.532377351649665 (7 / 60)
train_acc: 0.32806324110671936, val_acc: 0.3695652173913043, train_loss: 1.5819370539292046, val_loss: 1.4539444100244243 (8 / 60)
train_acc: 0.33794466403162055, val_acc: 0.2826086956521739, train_loss: 1.5094945840684793, val_loss: 1.6672482382167468 (9 / 60)
train_acc: 0.34980237154150196, val_acc: 0.41699604743083, train_loss: 1.54929676946444, val_loss: 1.3966552200524702 (10 / 60)
train_acc: 0.38537549407114624, val_acc: 0.40711462450592883, train_loss: 1.462496263000805, val_loss: 1.3833346267933901 (11 / 60)
train_acc: 0.33201581027667987, val_acc: 0.39723320158102765, train_loss: 1.4820886016363213, val_loss: 1.3435262363889944 (12 / 60)
train_acc: 0.33201581027667987, val_acc: 0.4189723320158103, train_loss: 1.504361162072585, val_loss: 1.4177819570533843 (13 / 60)
train_acc: 0.3359683794466403, val_acc: 0.391304347826087, train_loss: 1.4347147800234468, val_loss: 1.40906254905957 (14 / 60)
train_acc: 0.3952569169960474, val_acc: 0.42292490118577075, train_loss: 1.3893333103345789, val_loss: 1.301289892479365 (15 / 60)
train_acc: 0.39723320158102765, val_acc: 0.43873517786561267, train_loss: 1.3507341212434731, val_loss: 1.3054183992472561 (16 / 60)
train_acc: 0.3814229249011858, val_acc: 0.41699604743083, train_loss: 1.3465446266732197, val_loss: 1.2611516257048596 (17 / 60)
train_acc: 0.34980237154150196, val_acc: 0.3675889328063241, train_loss: 1.5039075664851977, val_loss: 1.386007823491756 (18 / 60)
